ID	Radius 
0	0.35
1	0.4
2	0.35
3	0.5
4	0.55
5	0.5
6	0.35
7	0.4
8	0.5
9	0.55
10	0.3
11	0.5
12	0.5
13	0.35
14	0.55
15	0.3
16	0.55
17	0.35
18	0.4
19	0.4
20	0.35
21	0.3
22	0.55
23	0.4
24	0.4
25	0.4
26	0.5
27	0.3
28	0.4
29	0.3
30	0.4
31	0.55
32	0.4
33	0.3
34	0.5
35	0.5
36	0.4
37	0.4
38	0.55
39	0.4
40	0.3
41	0.35
42	0.5
43	0.5
44	0.3
45	0.4
46	0.35
47	0.55
48	0.5
49	0.5
50	0.4
51	0.3
52	0.55
53	0.55
54	0.4
55	0.3
56	0.4
57	0.35
58	0.35
59	0.55
60	0.4
61	0.55
62	0.5
63	0.3
64	0.5
65	0.5
66	0.4
67	0.4
68	0.3
69	0.55
70	0.35
71	0.4
72	0.4
73	0.5
74	0.5
75	0.55
76	0.35
77	0.5
78	0.3
79	0.4
80	0.4
81	0.3
82	0.35
83	0.35
84	0.35
85	0.55
86	0.4
87	0.3
88	0.3
89	0.35
90	0.35
91	0.55
92	0.5
93	0.4
94	0.4
95	0.35
96	0.55
97	0.4
98	0.35
99	0.3
100	0.5
101	0.3
102	0.4
103	0.3
104	0.4
105	0.55
106	0.35
107	0.4
108	0.35
109	0.4
110	0.3
111	0.35
112	0.55
113	0.55
114	0.55
115	0.55
116	0.35
117	0.5
118	0.5
119	0.5
120	0.4
121	0.3
122	0.55
123	0.35
124	0.5
125	0.3
126	0.55
127	0.55
128	0.4
129	0.5
130	0.5
131	0.5
132	0.3
133	0.4
134	0.3
135	0.4
136	0.5
137	0.4
138	0.35
139	0.55
140	0.35
141	0.3
142	0.4
143	0.4
144	0.3
145	0.55
146	0.3
147	0.35
148	0.55
149	0.55
150	0.55
151	0.35
152	0.35
153	0.4
154	0.4
155	0.4
156	0.35
157	0.3
158	0.4
159	0.4
160	0.5
161	0.55
162	0.55
163	0.5
164	0.5
165	0.55
166	0.55
167	0.35
168	0.55
169	0.5
170	0.3
171	0.35
172	0.35
173	0.4
174	0.5
175	0.5
176	0.55
177	0.55
178	0.55
179	0.5
180	0.3
181	0.3
182	0.55
183	0.4
184	0.3
185	0.3
186	0.35
187	0.4
188	0.3
189	0.5
190	0.5
191	0.3
192	0.3
193	0.35
194	0.3
195	0.5
196	0.4
197	0.35
198	0.5
199	0.3
200	0.5
201	0.3
202	0.5
203	0.35
204	0.35
205	0.4
206	0.55
207	0.55
208	0.55
209	0.35
210	0.35
211	0.4
212	0.4
213	0.3
214	0.35
215	0.35
216	0.4
217	0.5
218	0.35
219	0.4
220	0.5
221	0.35
222	0.55
223	0.4
224	0.55
225	0.5
226	0.3
227	0.3
228	0.55
229	0.5
230	0.35
231	0.3
232	0.3
233	0.5
234	0.5
235	0.4
236	0.55
237	0.35
238	0.3
239	0.4
240	0.55
241	0.3
242	0.3
243	0.55
244	0.4
245	0.35
246	0.3
247	0.35
248	0.4
249	0.5
250	0.35
251	0.55
252	0.55
253	0.3
254	0.35
255	0.3
256	0.35
257	0.5
258	0.55
259	0.55
260	0.35
261	0.35
262	0.5
263	0.5
264	0.5
265	0.5
266	0.4
267	0.3
268	0.5
269	0.5
270	0.55
271	0.5
272	0.35
273	0.35
274	0.35
275	0.4
276	0.3
277	0.55
278	0.35
279	0.55
280	0.3
281	0.5
282	0.4
283	0.5
284	0.3
285	0.55
286	0.5
287	0.55
288	0.4
289	0.3
290	0.3
291	0.55
292	0.5
293	0.35
294	0.55
295	0.55
296	0.35
297	0.3
298	0.55
299	0.4
300	0.5
301	0.35
302	0.3
303	0.55
304	0.55
305	0.5
306	0.35
307	0.5
308	0.4
309	0.55
310	0.5
311	0.3
312	0.4
313	0.4
314	0.35
315	0.4
316	0.5
317	0.35
318	0.3
319	0.4
320	0.3
321	0.55
322	0.35
323	0.5
324	0.3
325	0.5
326	0.4
327	0.3
328	0.35
329	0.4
330	0.4
331	0.4
332	0.5
333	0.35
334	0.55
335	0.35
336	0.5
337	0.4
338	0.55
339	0.4
340	0.35
341	0.4
342	0.4
343	0.5
344	0.55
345	0.55
346	0.55
347	0.3
348	0.5
349	0.3
350	0.55
351	0.35
352	0.35
353	0.3
354	0.35
355	0.4
356	0.5
357	0.5
358	0.55
359	0.5
360	0.35
361	0.4
362	0.35
363	0.4
364	0.55
365	0.5
366	0.3
367	0.3
368	0.5
369	0.4
370	0.4
371	0.3
372	0.4
373	0.5
374	0.35
375	0.3
376	0.3
377	0.5
378	0.3
379	0.55
380	0.3
381	0.4
382	0.3
383	0.55
384	0.5
385	0.3
386	0.35
387	0.55
388	0.4
389	0.3
390	0.5
391	0.4
392	0.55
393	0.55
394	0.35
395	0.35
396	0.35
397	0.5
398	0.5
399	0.5
400	0.3
401	0.4
402	0.55
403	0.3
404	0.35
405	0.4
406	0.55
407	0.35
408	0.4
409	0.3
410	0.3
411	0.3
412	0.5
413	0.5
414	0.4
415	0.55
416	0.35
417	0.4
418	0.5
419	0.35
420	0.3
421	0.5
422	0.55
423	0.55
424	0.35
425	0.35
426	0.5
427	0.35
428	0.4
429	0.4
430	0.4
431	0.55
432	0.3
433	0.5
434	0.4
435	0.5
436	0.4
437	0.5
438	0.5
439	0.35
440	0.4
441	0.55
442	0.5
443	0.5
444	0.4
445	0.3
446	0.3
447	0.5
448	0.4
449	0.4
450	0.55
451	0.55
452	0.35
453	0.55
454	0.5
455	0.4
456	0.55
457	0.35
458	0.3
459	0.3
460	0.55
461	0.3
462	0.5
463	0.4
464	0.55
465	0.5
466	0.5
467	0.4
468	0.4
469	0.4
470	0.4
471	0.35
472	0.3
473	0.4
474	0.55
475	0.55
476	0.55
477	0.5
478	0.55
479	0.4
480	0.55
481	0.55
482	0.4
483	0.4
484	0.4
485	0.4
486	0.4
487	0.4
488	0.35
489	0.35
490	0.4
491	0.55
492	0.5
493	0.35
494	0.35
495	0.4
496	0.5
497	0.4
498	0.4
499	0.55
500	0.3
501	0.3
502	0.5
503	0.5
504	0.4
505	0.35
506	0.4
507	0.35
508	0.35
509	0.3
510	0.5
511	0.4
512	0.4
513	0.55
514	0.4
515	0.35
516	0.35
517	0.5
518	0.4
519	0.35
520	0.4
521	0.5
522	0.55
523	0.5
524	0.4
525	0.4
526	0.35
527	0.3
528	0.4
529	0.4
530	0.4
531	0.5
532	0.55
533	0.3
534	0.55
535	0.55
536	0.55
537	0.5
538	0.5
539	0.4
540	0.3
541	0.35
542	0.3
543	0.4
544	0.4
545	0.4
546	0.3
547	0.3
548	0.4
549	0.55
550	0.5
551	0.5
552	0.55
553	0.55
554	0.5
555	0.35
556	0.3
557	0.5
558	0.5
559	0.5
560	0.35
561	0.4
562	0.3
563	0.55
564	0.5
565	0.3
566	0.4
567	0.35
568	0.5
569	0.35
570	0.3
571	0.4
572	0.3
573	0.55
574	0.35
575	0.35
576	0.5
577	0.3
578	0.5
579	0.4
580	0.5
581	0.4
582	0.35
583	0.35
584	0.4
585	0.5
586	0.55
587	0.55
588	0.5
589	0.5
590	0.55
591	0.5
592	0.5
593	0.55
594	0.3
595	0.55
596	0.5
597	0.55
598	0.5
599	0.4
