ID	Radius 
0	0.4
1	0.3
2	0.4
3	0.3
4	0.3
5	0.5
6	0.5
7	0.55
8	0.5
9	0.55
10	0.4
11	0.3
12	0.55
13	0.3
14	0.3
15	0.5
16	0.55
17	0.4
18	0.4
19	0.3
20	0.35
21	0.55
22	0.35
23	0.4
24	0.4
25	0.35
26	0.5
27	0.35
28	0.55
29	0.55
30	0.3
31	0.55
32	0.35
33	0.35
34	0.35
35	0.3
36	0.35
37	0.55
38	0.5
39	0.3
40	0.4
41	0.55
42	0.3
43	0.5
44	0.35
45	0.5
46	0.3
47	0.35
48	0.5
49	0.55
50	0.35
51	0.55
52	0.55
53	0.55
54	0.35
55	0.35
56	0.55
57	0.35
58	0.5
59	0.35
60	0.4
61	0.55
62	0.5
63	0.3
64	0.55
65	0.35
66	0.5
67	0.35
68	0.35
69	0.55
70	0.3
71	0.4
72	0.5
73	0.55
74	0.55
75	0.4
76	0.55
77	0.3
78	0.3
79	0.55
80	0.4
81	0.35
82	0.4
83	0.35
84	0.4
85	0.55
86	0.55
87	0.3
88	0.4
89	0.35
90	0.5
91	0.3
92	0.3
93	0.5
94	0.3
95	0.5
96	0.3
97	0.4
98	0.35
99	0.5
100	0.3
101	0.3
102	0.35
103	0.3
104	0.55
105	0.4
106	0.55
107	0.5
108	0.4
109	0.3
110	0.55
111	0.5
112	0.55
113	0.5
114	0.4
115	0.3
116	0.35
117	0.55
118	0.55
119	0.35
120	0.35
121	0.55
122	0.5
123	0.3
124	0.5
125	0.35
126	0.5
127	0.55
128	0.5
129	0.55
130	0.4
131	0.55
132	0.5
133	0.55
134	0.35
135	0.4
136	0.5
137	0.4
138	0.35
139	0.55
140	0.3
141	0.3
142	0.3
143	0.55
144	0.3
145	0.4
146	0.3
147	0.5
148	0.35
149	0.4
150	0.55
151	0.4
152	0.5
153	0.55
154	0.35
155	0.4
156	0.3
157	0.5
158	0.35
159	0.5
160	0.5
161	0.5
162	0.5
163	0.35
164	0.35
165	0.3
166	0.35
167	0.35
168	0.55
169	0.5
170	0.55
171	0.4
172	0.55
173	0.4
174	0.55
175	0.55
176	0.3
177	0.35
178	0.55
179	0.5
180	0.3
181	0.35
182	0.4
183	0.3
184	0.5
185	0.35
186	0.3
187	0.4
188	0.5
189	0.5
190	0.55
191	0.35
192	0.55
193	0.5
194	0.4
195	0.35
196	0.3
197	0.5
198	0.4
199	0.55
200	0.35
201	0.3
202	0.5
203	0.55
204	0.3
205	0.4
206	0.3
207	0.3
208	0.4
209	0.35
210	0.4
211	0.35
212	0.35
213	0.55
214	0.3
215	0.35
216	0.35
217	0.5
218	0.35
219	0.5
220	0.4
221	0.35
222	0.4
223	0.3
